BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E6:44:89:D4:FB:40, 2025-04-13 01:41:49, 2025-04-13 02:36:37,6,195, OPN, ,   ,-66,248,0,   0.  0.  0.  0,11, Amity-event, 
2A:23:51:A6:25:AC, 2025-04-13 01:42:03, 2025-04-13 02:36:40,6,195, WPA2, CCMP, PSK,-75,33,0,   0.  0.  0.  0,0, , 
1E:62:00:AE:58:50, 2025-04-13 01:41:49, 2025-04-13 02:36:37,6,130, WPA3 WPA2, CCMP, SAE PSK,-79,31,0,   0.  0.  0.  0,19, Saransh’s iPhone , 
DE:44:89:D4:FB:36, 2025-04-13 02:19:36, 2025-04-13 02:36:40,6,195, OPN, ,   ,-81,17,0,   0.  0.  0.  0,11, Amity-Guest, 
D8:44:89:D5:04:CE, 2025-04-13 01:41:50, 2025-04-13 02:37:02,1,195, OPN, ,   ,-71,684,0,   0.  0.  0.  0,10, Amity-wifi, 
46:AE:30:56:30:2A, 2025-04-13 01:44:00, 2025-04-13 02:36:24,6,195, OPN, ,   ,-74,14,0,   0.  0.  0.  0,11, Amity-Guest, 
D8:44:89:D5:02:DE, 2025-04-13 01:41:55, 2025-04-13 02:36:27,11,195, OPN, ,   ,-74,50,2,  10.  2.121.158,10, Amity-wifi, 
DE:44:89:D5:02:DE, 2025-04-13 01:42:40, 2025-04-13 02:36:27,11,195, OPN, ,   ,-76,36,0,   0.  0.  0.  0,11, Amity-Guest, 
E6:44:89:D4:FB:3A, 2025-04-13 01:41:49, 2025-04-13 02:36:24,6,195, OPN, ,   ,-79,150,0,   0.  0.  0.  0,11, Amity-event, 
4A:AE:30:56:31:70, 2025-04-13 02:24:36, 2025-04-13 02:36:28,6,195, WPA2, CCMP, PSK,-82,7,0,   0.  0.  0.  0,0, , 
46:AE:30:56:31:70, 2025-04-13 02:04:07, 2025-04-13 02:36:28,6,195, OPN, ,   ,-82,9,0,   0.  0.  0.  0,11, Amity-Guest, 
D8:44:89:D4:FA:86, 2025-04-13 02:07:57, 2025-04-13 02:36:29,1,195, OPN, ,   ,-85,23,0,   0.  0.  0.  0,10, Amity-wifi, 
E2:44:89:D4:FA:7C, 2025-04-13 01:41:49, 2025-04-13 02:36:14,6,195, WPA2, CCMP, PSK,-74,191,0,   0.  0.  0.  0,0, , 
4A:AE:30:56:31:8E, 2025-04-13 01:42:24, 2025-04-13 02:36:13,11,195, WPA2, CCMP, PSK,-76,125,0,   0.  0.  0.  0,0, , 
